Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Abdelrahman Rezk,2015,expert,https://www.kaggle.com/abdelrahmanrezk7,0,0,6,50,a year ago,,8.0,2.0,10,2,1522.0,2032.0,Notebooks Expert
Melih Komutgan,2016,expert,https://www.kaggle.com/melihkomutgan,0,1,5,50,a year ago,,,1.0,6,17,1176.0,2036.0,Notebooks Expert
M Ramzan Ali,2017,expert,https://www.kaggle.com/mramzanali,0,0,7,50,10 months ago,"Bahawalpur, Punjab, Pakistan",1.0,7.0,17,31,1716.0,1779.0,Datasets Expert
Hassan Shehzad,2018,expert,https://www.kaggle.com/hassanshehzadk,0,0,6,50,6 months ago,"Sohawa, Punjab, Pakistan",,7.0,8,319,1806.0,2040.0,Datasets Expert
alephvnull,2019,expert,https://www.kaggle.com/alephvnull,0,0,5,50,4 months ago,,3.0,,5,19,1732.0,2042.0,Notebooks Expert
Kwabena,2020,expert,https://www.kaggle.com/kwabenantim,1,5,2,49,9 years ago,"London, England, United Kingdom",9.0,,8,61,320.0,2043.0,Competitions Expert
Sam Stainsby,2021,expert,https://www.kaggle.com/stainsby,2,1,2,49,7 years ago,"Brisbane, Queensland, Australia",5.0,,8,35,555.0,2044.0,Notebooks Expert
Hitesh palamada,2022,expert,https://www.kaggle.com/hiteshp,1,4,11,49,6 years ago,"Hyderabad, Telangana, India",10.0,,20,107,39.0,2084.0,Notebooks Expert
Ilia Zaitsev,2023,expert,https://www.kaggle.com/purplejester,0,0,7,49,6 years ago,"Hamburg, Hamburg, Germany",22.0,4.0,25,209,1804.0,2085.0,Competitions Expert
J.Jones,2024,expert,https://www.kaggle.com/johnoliverjones,1,3,3,49,6 years ago,"Edmond, Oklahoma, United States",6.0,3.0,17,101,420.0,2086.0,Notebooks Expert
Alexander Scarlat MD,2025,expert,https://www.kaggle.com/drscarlat,0,1,11,49,6 years ago,"Albany, New York, United States",12.0,12.0,43,64,752.0,1981.0,Datasets Expert
Ankan Hore,2026,expert,https://www.kaggle.com/ankanhore545,0,1,6,49,5 years ago,"Bengaluru, Karnataka, India",,17.0,10,369,1538.0,2088.0,Datasets Expert
rahul yadav,2027,expert,https://www.kaggle.com/rahullalu,0,4,7,49,5 years ago,"Bengaluru, Karnataka, India",24.0,,20,51,203.0,2045.0,Notebooks Expert
